Participant	Start	End	Sentence
7.Orange.1	00:03.9	00:04.5	"Okay."
7.Green.1	00:04.6	00:06.1	"Um."
7.Orange.2	00:06.3	00:08.2	"What did people put as number one?"
7.Blue.1	00:08.4	00:10.6	"I put the compress kit."
7.Green.2	00:10.9	00:12.2	"For the -- like the first one?"
7.Blue.2	00:12.2	00:13.0	"Yeah."
7.Green.3	00:13.6	00:15.8	"Okay, I did that too at first."
7.Green.4	00:15.8	00:19.0	"And then I was like maybe the compass might be more important?"
7.Green.5	00:19.0	00:21.2	"So I put that one as like my third one."
7.Green.6	00:21.2	00:23.6	"Just because like a compress kit --"
7.Blue.3	00:21.2	00:21.9	"Okay."
7.Green.7	00:23.6	00:29.6	"And then just like extra clothing would probably be the most important cause it's like minus twenty-five during the day."
7.Orange.3	00:28.9	00:29.6	"Yeah."
7.Orange.4	00:29.6	00:31.1	"Yeah I put that as number one."
7.Orange.5	00:31.1	00:32.7	"Like extra shirt and pants."
7.Green.8	00:32.7	00:33.5	"Yeah."
7.Blue.4	00:34.0	00:36.8	"Um f-which one did you guys put last?"
7.Green.9	00:37.3	00:39.7	"Uh, I put the two ski poles."
7.Green.10	00:39.7	00:41.8	"I mean like I feel like that's the least --"
7.Orange.6	00:41.8	00:43.5	"I put like the air map."
7.Orange.7	00:43.5	00:46.4	"Like for the last like ten like I really didn't know."
7.Green.11	00:45.7	00:47.2	"$"
7.Orange.8	00:46.4	00:49.4	"$ like I don't know what half this stuff is."
7.Blue.5	00:49.4	00:52.8	"I thought that -- I'm not too sure if like a cigarette lighter works without the fluid."
7.Blue.6	00:52.8	00:55.4	"But I put that one as last cause I thought it wouldn't work."
7.Green.12	00:55.3	00:56.5	"Okay I thought that too."
7.Green.13	00:56.5	01:13.2	"But like if you have a lighter and then it kind of like sparks and stuff with just like the flint in it, I feel like you're clever enough, which I'm not, I'm just thinking I'm just I don't know, some crazy engineer person, could take it apart and like take that out and kinda like start a fire with it." 
7.Orange.9	01:13.2	01:14.7	"Oh, that's true."
7.Green.14	01:13.4	01:16.0	"But I still put that like as number ten."
7.Blue.7	01:16.0	01:20.4	"I put that like lower cause I was like maybe they can make something with like the ball of steel wool and that."
7.Blue.8	01:20.4	01:23.0	"But I'm like I don't know if they would be able to make a fire out of it."
7.Green.15	01:20.8	01:21.6	"Yeah."
7.Green.16	01:23.3	01:24.9	"Yeah I don't know."
7.Green.17	01:25.6	01:26.9	"$ It's so hard."
7.Orange.10	01:26.1	01:27.7	"I have no idea."
7.Green.18	01:26.9	01:29.1	"I would be so screwed."
7.Green.19	01:29.4	01:30.6	"Um."
7.Green.20	01:32.1	01:35.9	"Uh, like literally I have no idea."
7.Blue.9	01:36.2	01:39.3	"I put the air map made with plastic as two."
7.Green.21	01:39.9	01:41.2	"As two?"
7.Green.22	01:41.2	01:42.1	"Yeah okay."
7.Blue.10	01:41.2	01:41.8	"Yeah."
7.Orange.11	01:41.8	01:44.9	"Sectional -- wait what is that?"
7.Green.23	01:42.1	01:42.9	"I put that --"
7.Blue.11	01:44.6	01:45.6	"I don't know, I just thought --"
7.Green.24	01:45.1	01:51.5	"I feel like that's like a terrain view of, um, like where they are. "
7.Blue.12	01:48.0	01:49.4	"Yeah, that's right."
7.Blue.13	01:49.8	01:51.0	"Where they are."
7.Orange.12	01:50.9	01:52.3	"Oh okay."
7.Green.25	01:51.5	01:53.8	"So it's kinda like I think what pilots use."
7.Green.26	01:53.8	02:04.6	"Cause I've like seen it on Mayday basically, on the Discovery channel, where they like have like maps of like the sections of like kinda quadrants that they're in."
7.Orange.13	02:00.2	02:01.5	"Oh."
7.Orange.14	02:02.1	02:03.7	"Okay that makes sense."
7.Green.27	02:05.3	02:06.2	"Um."
7.Green.28	02:08.4	02:09.4	"Um."
7.Green.29	02:11.1	02:14.3	"Like I scratched so many out and like adjusted them."
7.Green.30	02:14.5	02:20.5	"Cause like I put knife as nine but then I'm like realizing now like I feel like that's important."
7.Green.31	02:20.5	02:23.9	"Cause if you're out there for a few days like you'll have to like eat."
7.Green.32	02:23.9	02:27.2	"So you can like catch like a squirrel or something."
7.Orange.15	02:27.4	02:28.2	"Yeah."
7.Blue.14	02:28.2	02:29.7	"I put it as six."
7.Orange.16	02:29.7	02:31.2	"I put it as six, too."
7.Blue.15	02:32.9	02:34.9	"I put the flashlight as five."
7.Blue.16	02:34.9	02:36.0	"I don't know $."
7.Orange.17	02:36.2	02:37.6	"I put it as four, so."
7.Green.33	02:37.3	02:38.4	"Yeah I put five, too."
7.Green.34	02:38.4	02:39.3	"Okay."
7.Green.35	02:39.3	02:40.8	"Okay, that's kinda nice."
7.Orange.18	02:42.2	02:44.2	"Compass I put as three."
7.Blue.17	02:44.2	02:45.9	"I put compass as four."
7.Green.36	02:46.1	02:48.3	"Compass I put as my first one."
7.Green.37	02:48.9	02:52.8	"I probably should have said maybe grab an extra shirt and pants."
