Participant	Start	End	Sentence
20.Blue.1	00:00.5	00:01.0	"Okay."
20.Pink.1	00:03.0	00:03.7	"Um."
20.Blue.2	00:05.7	00:07.7	"I did the compress kit for number one."
20.Pink.2	00:09.1	00:10.6	"Uh, I did that for number two."
20.Blue.3	00:10.6	00:11.1	"Okay."
20.Orange.1	00:12.4	00:14.3	"It was in my top ten as least."
20.Blue.4	00:14.3	00:15.2	"Um."
20.Orange.2	00:17.9	00:23.0	"My second least important was the chocolate bar because they can probably hunt the food."
20.Blue.5	00:23.0	00:23.4	"Mhm."
20.Blue.6	00:24.2	00:26.7	"I think my least important was the whiskey."
20.Pink.3	00:27.3	00:29.2	"Uh, mine was a can of shortening."
20.Blue.7	00:29.7	00:31.4	"Okay $."
20.Pink.4	00:30.2	00:31.2	"$"
20.Orange.3	00:30.8	00:34.1	"[unclear] used for like fuel for fire."
20.Blue.8	00:34.6	00:35.0	"Yeah."
20.Orange.4	00:34.9	00:35.3	"Yeah."
20.Blue.9	00:37.3	00:38.7	"What should we do first?"
20.Pink.5	00:39.8	00:41.2	"Um, the number one."
20.Blue.10	00:44.7	00:46.2	"So."
20.Pink.6	00:47.5	00:52.9	"I thought it should be like the cigarette lighter because to start a fire if they didn't know how."
20.Blue.11	00:53.6	00:54.5	"Yeah, that's true."
20.Pink.7	00:54.7	00:55.1	"Hm."
20.Blue.12	00:55.8	00:56.6	"Should we do that?"
20.Orange.5	00:59.3	00:59.9	"Hm."
20.Orange.6	01:00.2	01:04.1	"And then they could have used, um, fluid for it."
20.Orange.7	01:04.1	01:08.7	"For with what -- uh... maybe the whiskey."
20.Blue.13	01:07.1	01:09.4	"Um, yeah."
20.Orange.8	01:09.4	01:10.0	"Yeah."
20.Blue.14	01:09.7	01:11.0	"So, have that as number one?"
20.Pink.8	01:11.2	01:11.6	"Yeah."
20.Orange.9	01:11.5	01:12.0	"Sure."
20.Blue.15	01:13.7	01:18.0	"And then number two, I did the thirty feet of rope."
20.Pink.9	01:19.0	01:22.5	"Oh, I did the compress kit cause like what if someone got injured."
20.Blue.16	01:22.5	01:23.1	"That's true."
20.Pink.10	01:23.1	01:23.5	"Yeah."
20.Blue.17	01:28.4	01:29.5	"Should we do the compress kit?"
20.Orange.10	01:30.5	01:30.8	"Yeah."
20.Blue.18	01:36.2	01:37.9	"And then number three, I did the knife."
20.Pink.11	01:38.5	01:39.1	"Oh yeah, same."
20.Blue.19	01:39.4	01:39.8	"Yeah."
20.Orange.11	01:41.2	01:42.6	"I was pretty high up there too."
20.Blue.20	01:42.5	01:43.0	"Okay."
20.Orange.12	01:43.0	01:43.3	"Yeah."
20.Blue.21	01:44.5	01:45.2	"We'll do that."
20.Blue.22	01:48.2	01:49.7	"Number four, I did the compass."
20.Pink.12	01:51.1	01:53.3	"Oh, I did the flashlight with batteries."
20.Blue.23	01:54.4	01:54.9	"Okay."
20.Blue.24	01:56.7	01:57.5	"What did you do?"
20.Orange.13	01:58.2	02:01.2	"Uh, compass was number three for me."
20.Orange.14	02:01.7	02:02.8	"Its pretty close to me."
20.Blue.25	02:02.5	02:03.3	"Should I do compass then?"
20.Orange.15	02:03.3	02:03.8	"Yeah sure."
20.Pink.13	02:03.3	02:03.7	"Yeah."
20.Blue.26	02:06.7	02:09.1	"And then number five, I did the flashlight with batteries."
20.Pink.14	02:10.9	02:12.4	"Yeah, I did that for number four."
20.Blue.27	02:12.7	02:13.8	"That's pretty close."
20.Pink.15	02:13.7	02:14.0	"Mhm."
20.Blue.28	02:21.5	02:24.0	"Number six, I did the extra shirt and pants."
20.Pink.16	02:25.8	02:27.0	"Uh, I did the compass."
20.Blue.29	02:27.5	02:28.1	"Okay."
20.Pink.17	02:29.1	02:31.9	"Just because like they said we're already dressed."
20.Blue.30	02:32.0	02:32.8	"That's true."
20.Orange.16	02:32.8	02:33.2	"Yeah."
20.Blue.31	02:34.3	02:35.9	"What did you do for number six?"
20.Orange.17	02:35.5	02:38.7	"Um, mine was the compress kit."
20.Blue.32	02:38.8	02:39.3	"Okay."
20.Blue.33	02:43.6	02:44.1	"Hm."
20.Blue.34	02:51.4	02:53.2	"Should we do the clothing because we didn't."
20.Blue.35	02:53.5	02:56.9	"We have the compass and the compress kit already or?"
